Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI,Distance
243,2021/8/12 18:8:2.419806,-0.04,0.03,0.01,0.35,-0.05,10.93,-70.0,12.415873228194727
244,2021/8/12 18:8:2.483950,-0.04,0.03,0.01,0.35,-0.05,10.95,-70.0,12.415873228194727
245,2021/8/12 18:8:2.547730,-0.04,0.03,0.01,0.36,-0.04,10.94,-70.0,12.415873228194727
246,2021/8/12 18:8:2.611404,-0.04,0.03,0.01,0.35,-0.05,10.93,-70.0,12.415873228194727
247,2021/8/12 18:8:2.671998,-0.04,0.03,0.01,0.35,-0.05,10.95,-70.0,12.415873228194727
248,2021/8/12 18:8:2.731562,-0.04,0.03,0.01,0.34,-0.05,10.95,-70.0,12.415873228194727
249,2021/8/12 18:8:2.791406,-0.04,0.03,0.01,0.34,-0.04,10.94,-70.0,12.415873228194727
250,2021/8/12 18:8:2.847464,-0.04,0.03,0.01,0.35,-0.05,10.94,-71.0,13.052448661069993
251,2021/8/12 18:8:2.907980,-0.04,0.03,0.01,0.35,-0.05,10.94,-71.0,13.052448661069993
252,2021/8/12 18:8:2.967805,-0.04,0.03,0.01,0.35,-0.05,10.95,-71.0,13.052448661069993
253,2021/8/12 18:8:3.31102,-0.04,0.03,0.01,0.35,-0.05,10.96,-71.0,13.052448661069993
254,2021/8/12 18:8:3.91436,-0.04,0.03,0.01,0.34,-0.04,10.95,-71.0,13.052448661069993
255,2021/8/12 18:8:3.148199,-0.04,0.03,0.01,0.34,-0.05,10.95,-72.0,13.721662014314827
256,2021/8/12 18:8:3.207917,-0.04,0.03,0.01,0.35,-0.04,10.95,-72.0,13.721662014314827
257,2021/8/12 18:8:3.258049,-0.04,0.03,0.01,0.35,-0.05,10.94,-72.0,13.721662014314827
258,2021/8/12 18:8:3.314784,-0.04,0.03,0.01,0.36,-0.05,10.93,-72.0,13.721662014314827
259,2021/8/12 18:8:3.367493,-0.04,0.03,0.01,0.35,-0.04,10.94,-72.0,13.721662014314827
260,2021/8/12 18:8:3.428579,-0.04,0.03,0.01,0.35,-0.05,10.93,-72.0,13.721662014314827
261,2021/8/12 18:8:3.491025,-0.04,0.03,0.01,0.35,-0.05,10.93,-72.0,13.721662014314827
262,2021/8/12 18:8:3.565186,-0.01,0.01,0.02,0.09,3.71,10.77,-72.0,13.721662014314827
263,2021/8/12 18:8:3.624518,0.05,-0.11,0.1,0.06,5.94,11.92,-72.0,13.721662014314827
264,2021/8/12 18:8:3.693938,-0.0,-0.09,0.11,0.76,4.17,9.73,-72.0,13.721662014314827
265,2021/8/12 18:8:3.754307,-0.1,-0.06,-0.12,1.3,3.86,10.32,-72.0,13.721662014314827
266,2021/8/12 18:8:3.801071,-0.09,0.13,-0.05,0.52,1.99,11.02,-71.0,13.052448661069993
267,2021/8/12 18:8:3.845557,0.17,0.06,0.06,-0.48,1.84,11.25,-71.0,13.052448661069993
268,2021/8/12 18:8:3.889762,-0.12,-0.01,0.12,0.21,0.98,10.49,-69.0,11.810343945529494
269,2021/8/12 18:8:3.933038,-0.06,-0.1,0.04,0.69,0.53,10.15,-69.0,11.810343945529494
270,2021/8/12 18:8:3.977614,-0.06,0.15,0.05,0.66,0.14,11.35,-68.0,11.234346674461515
271,2021/8/12 18:8:4.33306,-0.1,-0.1,0.06,0.22,-0.19,10.64,-68.0,11.234346674461515
272,2021/8/12 18:8:4.156496,-0.04,0.19,0.0,0.03,-0.06,11.21,-67.0,10.686441121789539
273,2021/8/12 18:8:4.262008,-0.03,-0.1,0.03,0.96,-0.03,10.86,-66.0,10.16525723824062
274,2021/8/12 18:8:4.333503,-0.04,0.13,0.0,-0.2,0.14,10.55,-66.0,10.16525723824062
275,2021/8/12 18:8:4.408251,-0.23,-0.06,0.11,-0.06,-0.32,11.22,-65.0,9.669491792633345
276,2021/8/12 18:8:4.474121,-0.05,0.08,0.07,1.29,-0.29,11.17,-64.0,9.197905113120996
277,2021/8/12 18:8:4.534027,0.12,0.01,-0.04,0.01,0.45,10.4,-64.0,9.197905113120996
278,2021/8/12 18:8:4.597968,-0.1,-0.05,0.09,0.26,-0.27,11.34,-65.0,9.669491792633345
279,2021/8/12 18:8:4.658328,-0.06,0.16,0.03,0.69,-0.48,10.78,-65.0,9.669491792633345
280,2021/8/12 18:8:4.742759,-0.2,-0.02,0.08,0.46,-0.29,10.65,-65.0,9.669491792633345
281,2021/8/12 18:8:4.808618,-0.01,0.1,0.09,1.02,-0.55,11.12,-66.0,10.16525723824062
282,2021/8/12 18:8:4.875142,0.16,0.11,-0.07,-0.21,0.27,11.03,-67.0,10.686441121789539
283,2021/8/12 18:8:4.936537,-0.08,-0.09,0.05,0.31,-0.21,11.14,-67.0,10.686441121789539
284,2021/8/12 18:8:4.992002,-0.05,0.1,0.11,1.0,-0.24,11.42,-67.0,10.686441121789539
285,2021/8/12 18:8:5.54635,0.11,0.16,-0.09,-0.26,0.29,10.47,-67.0,10.686441121789539
286,2021/8/12 18:8:5.127175,-0.14,-0.07,0.02,0.53,-0.17,10.07,-66.0,10.16525723824062
287,2021/8/12 18:8:5.188666,-0.0,0.09,0.04,0.43,-0.29,10.83,-65.0,9.669491792633345
288,2021/8/12 18:8:5.249852,-0.07,0.0,0.09,0.5,0.1,10.39,-65.0,9.669491792633345
289,2021/8/12 18:8:5.318942,-0.04,-0.1,0.06,0.99,-0.35,10.52,-65.0,9.669491792633345
290,2021/8/12 18:8:5.373265,-0.08,0.0,0.04,0.19,-0.03,10.62,-64.0,9.197905113120996
291,2021/8/12 18:8:5.488052,-0.07,-0.12,0.05,1.29,-0.43,10.64,-64.0,9.197905113120996
292,2021/8/12 18:8:5.552559,0.1,0.15,-0.06,-0.31,0.27,10.88,-64.0,9.197905113120996
293,2021/8/12 18:8:5.611019,-0.06,-0.01,0.05,0.3,-0.44,10.75,-64.0,9.197905113120996
294,2021/8/12 18:8:5.668096,-0.02,0.06,0.08,1.16,-0.24,11.46,-64.0,9.197905113120996
295,2021/8/12 18:8:5.740734,0.11,0.13,-0.07,0.11,0.07,10.17,-64.0,9.197905113120996
296,2021/8/12 18:8:5.796843,-0.17,-0.05,0.06,-0.0,-0.14,11.48,-64.0,9.197905113120996
297,2021/8/12 18:8:5.860738,-0.02,0.16,0.05,1.03,-0.33,11.18,-64.0,9.197905113120996
298,2021/8/12 18:8:5.922278,0.04,0.03,-0.07,-0.46,0.21,11.8,-64.0,9.197905113120996
299,2021/8/12 18:8:5.988259,-0.1,-0.07,0.02,0.41,-0.03,10.76,-65.0,9.669491792633345
300,2021/8/12 18:8:6.62186,0.0,0.16,-0.04,0.73,-0.24,10.75,-65.0,9.669491792633345
301,2021/8/12 18:8:6.120047,-0.09,0.03,0.03,0.36,-0.07,10.52,-66.0,10.16525723824062
302,2021/8/12 18:8:6.193109,-0.05,-0.03,0.09,1.3,-0.55,10.93,-66.0,10.16525723824062
303,2021/8/12 18:8:6.252761,0.09,0.15,-0.12,-0.21,0.03,11.46,-66.0,10.16525723824062
304,2021/8/12 18:8:6.314413,-0.1,-0.08,-0.01,0.56,-0.2,10.19,-66.0,10.16525723824062
305,2021/8/12 18:8:6.382438,-0.14,0.15,0.06,1.27,-0.25,10.91,-66.0,10.16525723824062
306,2021/8/12 18:8:6.424788,-0.11,0.16,-0.14,-0.13,0.01,11.07,-66.0,10.16525723824062
307,2021/8/12 18:8:6.482037,-0.1,-0.04,0.05,0.01,-0.4,11.39,-66.0,10.16525723824062
308,2021/8/12 18:8:6.540840,-0.03,0.14,0.06,1.14,-0.27,11.05,-67.0,10.686441121789539
309,2021/8/12 18:8:6.610855,-0.03,0.07,-0.04,0.13,-3.93,11.48,-67.0,10.686441121789539
310,2021/8/12 18:8:6.669699,-0.03,0.07,0.04,0.42,-5.26,11.43,-67.0,10.686441121789539
311,2021/8/12 18:8:6.726926,-0.04,0.04,-0.06,0.45,-5.31,11.28,-67.0,10.686441121789539
312,2021/8/12 18:8:6.786756,-0.05,-0.02,-0.1,0.46,-4.42,10.8,-67.0,10.686441121789539
313,2021/8/12 18:8:6.861350,0.04,0.0,-0.04,0.48,-1.75,10.88,-68.0,11.234346674461515
314,2021/8/12 18:8:6.970946,-0.05,0.03,0.02,0.53,-1.84,10.86,-67.0,10.686441121789539
315,2021/8/12 18:8:7.26435,-0.02,0.04,0.04,0.47,-0.03,10.93,-66.0,10.16525723824062
316,2021/8/12 18:8:7.94317,-0.04,0.03,0.01,0.41,-0.18,10.92,-66.0,10.16525723824062
317,2021/8/12 18:8:7.170772,-0.04,0.03,0.01,0.44,-0.19,10.93,-64.0,9.197905113120996
318,2021/8/12 18:8:7.413191,-0.04,0.03,0.01,0.43,-0.22,10.93,-64.0,9.197905113120996
319,2021/8/12 18:8:7.491243,-0.04,0.03,0.01,0.43,-0.2,10.93,-64.0,9.197905113120996
320,2021/8/12 18:8:7.695191,-0.04,0.03,0.01,0.43,-0.21,10.94,-64.0,9.197905113120996
321,2021/8/12 18:8:7.761546,-0.04,0.03,0.01,0.43,-0.22,10.93,-64.0,9.197905113120996
322,2021/8/12 18:8:7.827258,-0.04,0.03,0.01,0.45,-0.21,10.94,-64.0,9.197905113120996
323,2021/8/12 18:8:7.887470,-0.04,0.03,0.01,0.43,-0.21,10.92,-64.0,9.197905113120996
324,2021/8/12 18:8:8.26307,-0.04,0.03,0.01,0.43,-0.2,10.93,-64.0,9.197905113120996
325,2021/8/12 18:8:8.91331,-0.04,0.03,0.01,0.43,-0.21,10.94,-64.0,9.197905113120996
326,2021/8/12 18:8:8.158001,-0.04,0.03,0.01,0.42,-0.23,10.93,-64.0,9.197905113120996
327,2021/8/12 18:8:8.250501,-0.04,0.03,0.01,0.43,-0.22,10.92,-64.0,9.197905113120996
328,2021/8/12 18:8:8.315221,-0.04,0.03,0.01,0.43,-0.21,10.92,-64.0,9.197905113120996
329,2021/8/12 18:8:8.382252,-0.04,0.03,0.01,0.44,-0.21,10.92,-64.0,9.197905113120996
330,2021/8/12 18:8:8.450213,-0.04,0.03,0.01,0.43,-0.21,10.93,-64.0,9.197905113120996
331,2021/8/12 18:8:8.514163,-0.04,0.03,0.01,0.43,-0.22,10.92,-64.0,9.197905113120996
332,2021/8/12 18:8:8.589371,-0.04,0.03,0.01,0.44,-0.22,10.95,-64.0,9.197905113120996
333,2021/8/12 18:8:8.654073,-0.04,0.03,0.01,0.44,-0.21,10.94,-63.0,8.749317987366261
334,2021/8/12 18:8:8.798915,-0.04,0.03,0.01,0.44,-0.21,10.93,-63.0,8.749317987366261
335,2021/8/12 18:8:8.869103,-0.04,0.03,0.01,0.44,-0.21,10.93,-63.0,8.749317987366261
336,2021/8/12 18:8:8.970966,-0.04,0.03,0.01,0.43,-0.2,10.94,-63.0,8.749317987366261
337,2021/8/12 18:8:9.47902,-0.04,0.03,0.01,0.43,-0.22,10.95,-63.0,8.749317987366261
338,2021/8/12 18:8:9.125810,-0.04,0.03,0.01,0.44,-0.2,10.93,-63.0,8.749317987366261
339,2021/8/12 18:8:9.199479,-0.04,0.03,0.01,0.44,-0.21,10.93,-63.0,8.749317987366261
340,2021/8/12 18:8:9.293434,-0.04,0.03,0.01,0.43,-0.21,10.94,-64.0,9.197905113120996
341,2021/8/12 18:8:9.363963,-0.04,0.03,0.01,0.43,-0.2,10.94,-64.0,9.197905113120996
342,2021/8/12 18:8:9.425925,-0.04,0.03,0.01,0.43,-0.21,10.94,-64.0,9.197905113120996
343,2021/8/12 18:8:9.490479,-0.04,0.03,0.01,0.43,-0.22,10.96,-64.0,9.197905113120996
344,2021/8/12 18:8:9.551101,-0.04,0.03,0.01,0.43,-0.21,10.93,-64.0,9.197905113120996
345,2021/8/12 18:8:9.620754,-0.04,0.03,0.01,0.44,-0.21,10.94,-64.0,9.197905113120996
346,2021/8/12 18:8:9.681659,-0.04,0.03,0.01,0.44,-0.22,10.92,-64.0,9.197905113120996
347,2021/8/12 18:8:9.745211,-0.04,0.03,0.01,0.44,-0.21,10.92,-64.0,9.197905113120996
348,2021/8/12 18:8:9.811757,-0.04,0.03,0.01,0.43,-0.21,10.95,-64.0,9.197905113120996
349,2021/8/12 18:8:9.888248,-0.04,0.03,0.01,0.43,-0.21,10.93,-64.0,9.197905113120996
350,2021/8/12 18:8:9.956134,-0.04,0.03,0.01,0.43,-0.21,10.96,-64.0,9.197905113120996
351,2021/8/12 18:8:10.25333,-0.04,0.03,0.01,0.43,-0.21,10.95,-63.0,8.749317987366261
352,2021/8/12 18:8:10.96921,-0.04,0.03,0.01,0.43,-0.22,10.95,-63.0,8.749317987366261
353,2021/8/12 18:8:10.177548,-0.04,0.03,0.01,0.44,-0.21,10.94,-63.0,8.749317987366261
354,2021/8/12 18:8:10.240927,-0.04,0.03,0.01,0.43,-0.21,10.92,-63.0,8.749317987366261
355,2021/8/12 18:8:10.308189,-0.04,0.03,0.01,0.43,-0.2,10.93,-63.0,8.749317987366261
356,2021/8/12 18:8:10.377544,-0.04,0.03,0.01,0.44,-0.2,10.94,-63.0,8.749317987366261
357,2021/8/12 18:8:10.454771,-0.04,0.03,0.01,0.44,-0.21,10.93,-63.0,8.749317987366261
358,2021/8/12 18:8:10.510024,-0.04,0.03,0.01,0.44,-0.21,10.94,-63.0,8.749317987366261
359,2021/8/12 18:8:10.576474,-0.04,0.03,0.01,0.44,-0.21,10.93,-63.0,8.749317987366261
360,2021/8/12 18:8:10.643807,-0.04,0.03,0.01,0.43,-0.21,10.93,-63.0,8.749317987366261
361,2021/8/12 18:8:10.731624,-0.04,0.03,0.01,0.43,-0.22,10.94,-63.0,8.749317987366261
362,2021/8/12 18:8:10.814256,-0.04,0.03,0.01,0.43,-0.22,10.93,-63.0,8.749317987366261
363,2021/8/12 18:8:10.884908,-0.04,0.03,0.01,0.43,-0.22,10.93,-63.0,8.749317987366261
364,2021/8/12 18:8:10.946660,-0.04,0.03,0.01,0.43,-0.21,10.93,-63.0,8.749317987366261
365,2021/8/12 18:8:11.37508,-0.04,0.03,0.01,0.43,-0.21,10.94,-63.0,8.749317987366261
366,2021/8/12 18:8:11.93464,-0.04,0.03,0.01,0.44,-0.21,10.93,-63.0,8.749317987366261
