Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI,Distance
56,2021/8/12 18:7:51.66121,-0.04,0.03,0.01,0.39,-0.12,10.95,-49.0,4.344782730723917
57,2021/8/12 18:7:51.126768,-0.04,0.03,0.01,0.39,-0.13,10.93,-49.0,4.344782730723917
58,2021/8/12 18:7:51.185774,-0.04,0.03,0.01,0.38,-0.13,10.94,-49.0,4.344782730723917
59,2021/8/12 18:7:51.246494,-0.04,0.03,0.01,0.4,-0.13,10.93,-49.0,4.344782730723917
60,2021/8/12 18:7:51.316945,-0.04,0.03,0.01,0.39,-0.11,10.92,-49.0,4.344782730723917
61,2021/8/12 18:7:51.374765,-0.04,0.03,0.01,0.39,-0.13,10.94,-49.0,4.344782730723917
62,2021/8/12 18:7:51.442207,-0.04,0.03,0.01,0.38,-0.13,10.94,-49.0,4.344782730723917
63,2021/8/12 18:7:51.501366,-0.04,0.03,0.01,0.39,-0.12,10.94,-49.0,4.344782730723917
64,2021/8/12 18:7:51.559428,-0.04,0.03,0.01,0.39,-0.12,10.94,-49.0,4.344782730723917
65,2021/8/12 18:7:51.617490,-0.04,0.03,0.01,0.39,-0.13,10.94,-49.0,4.344782730723917
66,2021/8/12 18:7:51.686136,-0.04,0.03,0.01,0.39,-0.12,10.94,-49.0,4.344782730723917
67,2021/8/12 18:7:51.745270,-0.04,0.03,0.01,0.39,-0.12,10.95,-49.0,4.344782730723917
68,2021/8/12 18:7:51.799270,-0.04,0.03,0.01,0.39,-0.12,10.95,-49.0,4.344782730723917
69,2021/8/12 18:7:51.858388,-0.04,0.03,0.01,0.4,-0.12,10.95,-49.0,4.344782730723917
70,2021/8/12 18:7:51.917609,-0.04,0.03,0.01,0.4,-0.13,10.94,-49.0,4.344782730723917
71,2021/8/12 18:7:51.979022,-0.04,0.03,0.01,0.39,-0.12,10.96,-49.0,4.344782730723917
72,2021/8/12 18:7:52.40441,-0.04,0.03,0.01,0.4,-0.11,10.95,-49.0,4.344782730723917
73,2021/8/12 18:7:52.99126,-0.04,0.03,0.01,0.38,-0.12,10.95,-49.0,4.344782730723917
74,2021/8/12 18:7:52.156635,-0.04,0.03,0.01,0.39,-0.12,10.95,-49.0,4.344782730723917
75,2021/8/12 18:7:52.223470,-0.04,0.03,0.02,0.39,-0.12,10.95,-49.0,4.344782730723917
76,2021/8/12 18:7:52.277898,-0.04,0.03,0.01,0.39,-0.12,10.95,-49.0,4.344782730723917
77,2021/8/12 18:7:52.339475,-0.04,0.03,0.01,0.39,-0.12,10.94,-49.0,4.344782730723917
78,2021/8/12 18:7:52.396711,-0.04,0.03,0.01,0.4,-0.12,10.93,-49.0,4.344782730723917
79,2021/8/12 18:7:52.464908,-0.04,0.03,0.01,0.39,-0.11,10.94,-49.0,4.344782730723917
80,2021/8/12 18:7:52.525208,-0.04,0.03,0.01,0.39,-0.12,10.95,-49.0,4.344782730723917
81,2021/8/12 18:7:52.587532,-0.04,0.03,0.01,0.39,-0.12,10.95,-49.0,4.344782730723917
82,2021/8/12 18:7:52.646473,-0.04,0.03,0.01,0.4,-0.11,10.95,-49.0,4.344782730723917
83,2021/8/12 18:7:52.702097,-0.04,0.03,0.01,0.4,-0.12,10.95,-49.0,4.344782730723917
84,2021/8/12 18:7:52.753248,-0.04,0.03,0.01,0.4,-0.12,10.93,-49.0,4.344782730723917
85,2021/8/12 18:7:52.815355,-0.04,0.03,0.01,0.4,-0.11,10.94,-49.0,4.344782730723917
86,2021/8/12 18:7:52.874209,-0.04,0.03,0.01,0.39,-0.12,10.94,-49.0,4.344782730723917
87,2021/8/12 18:7:52.932338,-0.04,0.03,0.01,0.4,-0.11,10.93,-49.0,4.344782730723917
88,2021/8/12 18:7:52.986977,-0.04,0.03,0.01,0.4,-0.11,10.93,-49.0,4.344782730723917
89,2021/8/12 18:7:53.47192,-0.04,0.03,0.01,0.39,-0.12,10.95,-49.0,4.344782730723917
90,2021/8/12 18:7:53.110206,-0.04,0.03,0.01,0.39,-0.12,10.95,-49.0,4.344782730723917
91,2021/8/12 18:7:53.170373,-0.04,0.03,0.01,0.39,-0.12,10.95,-49.0,4.344782730723917
92,2021/8/12 18:7:53.232455,-0.04,0.03,0.01,0.39,-0.13,10.95,-49.0,4.344782730723917
93,2021/8/12 18:7:53.294097,-0.04,0.03,0.01,0.4,-0.13,10.94,-49.0,4.344782730723917
94,2021/8/12 18:7:53.356977,-0.04,0.03,0.01,0.39,-0.12,10.94,-49.0,4.344782730723917
95,2021/8/12 18:7:53.413504,-0.04,0.03,0.01,0.4,-0.11,10.93,-49.0,4.344782730723917
96,2021/8/12 18:7:53.476260,-0.04,0.03,0.01,0.4,-0.12,10.94,-49.0,4.344782730723917
97,2021/8/12 18:7:53.536526,-0.04,0.03,0.01,0.4,-0.12,10.94,-49.0,4.344782730723917
98,2021/8/12 18:7:53.599050,-0.04,0.03,0.01,0.4,-0.13,10.94,-49.0,4.344782730723917
99,2021/8/12 18:7:53.681454,-0.04,0.03,0.01,0.39,-0.12,10.94,-49.0,4.344782730723917
100,2021/8/12 18:7:53.752665,-0.04,0.03,0.01,0.4,-0.13,10.95,-49.0,4.344782730723917
101,2021/8/12 18:7:53.800516,-0.04,0.03,0.01,0.39,-0.12,10.94,-49.0,4.344782730723917
102,2021/8/12 18:7:53.846212,-0.04,0.03,0.01,0.39,-0.11,10.95,-49.0,4.344782730723917
103,2021/8/12 18:7:53.898725,-0.04,0.03,0.01,0.38,-0.11,10.95,-49.0,4.344782730723917
104,2021/8/12 18:7:53.943427,-0.04,0.03,0.01,0.39,-0.12,10.94,-49.0,4.344782730723917
105,2021/8/12 18:7:54.3458,-0.04,0.03,0.01,0.39,-0.12,10.95,-49.0,4.344782730723917
106,2021/8/12 18:7:54.53945,-0.04,0.03,0.01,0.39,-0.12,10.94,-49.0,4.344782730723917
107,2021/8/12 18:7:54.113834,-0.04,0.03,0.01,0.4,-0.12,10.94,-49.0,4.344782730723917
108,2021/8/12 18:7:54.178612,-0.04,0.03,0.01,0.4,-0.12,10.94,-49.0,4.344782730723917
109,2021/8/12 18:7:54.240091,-0.04,0.03,0.01,0.4,0.76,12.04,-49.0,4.344782730723917
110,2021/8/12 18:7:54.300427,-0.14,0.1,0.13,-0.18,3.97,12.37,-49.0,4.344782730723917
111,2021/8/12 18:7:54.359171,-0.34,-0.14,0.25,0.42,4.88,12.07,-49.0,4.344782730723917
112,2021/8/12 18:7:54.419368,-0.29,0.12,0.08,0.92,4.02,11.37,-49.0,4.344782730723917
113,2021/8/12 18:7:54.484401,0.01,0.05,-0.16,0.28,1.81,10.64,-49.0,4.344782730723917
114,2021/8/12 18:7:54.540174,0.2,0.02,0.01,0.38,1.75,10.48,-50.0,4.567544504843748
115,2021/8/12 18:7:54.599107,-0.27,0.01,0.06,0.18,0.5,11.28,-50.0,4.567544504843748
116,2021/8/12 18:7:54.656889,0.0,0.19,0.03,0.5,0.14,10.63,-50.0,4.567544504843748
117,2021/8/12 18:7:54.720237,0.1,-0.05,0.02,0.59,0.83,10.12,-50.0,4.567544504843748
118,2021/8/12 18:7:54.779681,-0.3,0.03,0.08,0.33,-0.14,10.97,-50.0,4.567544504843748
