Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI,Distance
772,52:57.5,0.02,0.01,-0.04,0.42,0.29,11.82,-64,9.197905113
773,52:57.6,-0.13,-0.05,0.11,0.01,0.58,11.07,-64,9.197905113
774,52:57.6,-0.1,0.03,0.1,0.76,0.12,9.39,-64,9.197905113
775,52:57.7,-0.4,0.04,-0.07,0.23,-4.19,10.58,-64,9.197905113
776,52:57.8,-0.13,0.08,-0.13,0.56,-4.98,10.39,-63,8.749317987
777,52:57.8,-0.23,-0.04,-0.17,0.6,-4.69,10.05,-62,8.322608714
778,52:57.9,-0.11,0.07,-0.01,0.75,-3.42,10.52,-62,8.322608714
779,52:57.9,-0.03,0.02,-0.03,0.54,-1.82,10.76,-62,8.322608714
780,52:58.0,-0.05,0.03,-0.03,0.53,-1.72,10.87,-62,8.322608714
781,52:58.5,-0.05,0.03,0.01,0.52,-1.18,11,-62,8.322608714
782,52:58.1,-0.01,0.03,0.04,0.59,0.32,10.85,-62,8.322608714
783,52:58.2,-0.05,0.03,0,0.52,-0.22,10.89,-62,8.322608714
784,52:58.2,-0.04,0.03,0.02,0.49,-0.07,10.89,-61,7.916710297
785,52:58.3,-0.04,0.03,0.01,0.51,-0.13,10.91,-61,7.916710297
786,52:58.3,-0.04,0.03,0.02,0.5,-0.08,10.91,-61,7.916710297
787,52:58.4,-0.04,0.03,0.01,0.5,-0.14,10.91,-61,7.916710297
788,52:58.5,-0.04,0.03,0.01,0.49,-0.12,10.92,-61,7.916710297
789,52:58.5,-0.04,0.03,0.01,0.5,-0.12,10.89,-61,7.916710297
790,52:58.6,-0.04,0.03,0.01,0.5,-0.12,10.91,-61,7.916710297
791,52:58.6,-0.04,0.03,0.01,0.49,-0.13,10.91,-61,7.916710297
792,52:58.7,-0.04,0.03,0.01,0.49,-0.11,10.93,-61,7.916710297
793,52:58.8,-0.04,0.03,0.01,0.5,-0.12,10.9,-61,7.916710297
794,52:58.8,-0.04,0.03,0.01,0.5,-0.12,10.91,-61,7.916710297
795,52:58.9,-0.04,0.03,0.01,0.5,-0.12,10.92,-61,7.916710297
796,52:58.9,-0.04,0.03,0.02,0.49,-0.11,10.92,-61,7.916710297
797,52:59.9,-0.04,0.03,0.01,0.49,-0.12,10.91,-61,7.916710297
798,52:59.7,-0.04,0.03,0.01,0.49,-0.12,10.91,-61,7.916710297
799,52:59.1,-0.04,0.03,0.01,0.5,-0.12,10.91,-61,7.916710297
800,52:59.2,-0.04,0.03,0.01,0.5,-0.12,10.91,-61,7.916710297
801,52:59.2,-0.04,0.03,0.01,0.5,-0.12,10.92,-61,7.916710297
802,52:59.3,-0.04,0.03,0.01,0.5,-0.12,10.91,-61,7.916710297
803,52:59.4,-0.04,0.03,0.01,0.5,-0.13,10.92,-61,7.916710297
804,52:59.4,-0.04,0.03,0.01,0.49,-0.13,10.93,-61,7.916710297
805,52:59.5,-0.04,0.03,0.01,0.5,-0.12,10.91,-61,7.916710297
806,52:59.5,-0.04,0.03,0.01,0.49,-0.12,10.92,-61,7.916710297
