Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI
91,1627717957,-0.04,0.04,0.01,0.65,0.48,10.92,-22
92,1627717958,-0.04,0.04,0.01,0.65,0.49,10.9,-22
93,1627717959,-0.04,0.03,0.01,0.64,0.48,10.92,-23
94,1627717960,-0.04,0.03,0.01,0.65,0.48,10.92,-22
95,1627717961,-0.04,0.03,0.01,0.65,0.48,10.91,-22
96,1627717961,-0.04,0.03,0.01,0.66,0.48,10.93,-23
97,1627717962,-0.04,0.03,0.01,0.65,0.48,10.92,-23
98,1627717963,-0.04,0.04,0.01,0.65,0.48,10.9,-23
99,1627717964,-0.04,0.03,0.01,0.64,0.48,10.9,-24
100,1627717965,-0.04,0.04,0.01,0.65,0.49,10.91,-23
101,1627717966,-0.04,0.04,0.01,0.64,0.49,10.92,-22
102,1627717966,-0.04,0.04,0.01,0.65,0.48,10.91,-22
103,1627717967,-0.04,0.03,0.01,0.65,0.48,10.9,-25
104,1627717968,-0.04,0.03,0.01,0.64,0.48,10.91,-23
105,1627717969,-0.04,0.04,0.01,0.64,0.49,10.9,-23
106,1627717969,-0.04,0.03,0.01,0.65,0.47,10.9,-23
107,1627717970,-0.04,0.03,0.01,0.65,0.49,10.91,-23
108,1627717971,-0.04,0.03,0.01,0.65,0.48,10.91,-24
109,1627717972,-0.04,0.03,0.01,0.65,0.49,10.94,-23
110,1627717973,-0.04,0.03,0.01,0.65,0.48,10.91,-23
111,1627717973,-0.04,0.03,0.01,0.66,0.49,10.92,-23
112,1627717974,-0.04,0.03,0.01,0.65,0.48,10.92,-24
113,1627717975,-0.04,0.04,0.01,0.65,0.48,10.93,-24
114,1627717976,-0.04,0.03,0.01,0.65,0.49,10.9,-23
115,1627717977,-0.04,0.03,0.01,0.64,0.48,10.91,-24
116,1627717978,-0.04,0.03,0.01,0.64,0.48,10.9,-23
117,1627717978,-0.04,0.03,0.01,0.64,0.49,10.91,-23
118,1627717979,-0.04,0.04,0.01,0.65,0.49,10.9,-23
119,1627717980,-0.04,0.03,0.01,0.64,0.49,10.91,-24
120,1627717981,-0.04,0.04,0.01,0.64,0.49,10.9,-22
121,1627717982,-0.04,0.03,0.01,0.66,0.49,10.91,-23
122,1627717983,-0.04,0.03,0.01,0.65,0.49,10.9,-23
123,1627717983,-0.04,0.04,0.01,0.66,0.48,10.9,-23
124,1627717984,-0.04,0.04,0.01,0.65,0.48,10.92,-23
125,1627717985,-0.04,0.04,0.01,0.66,0.49,10.9,-23
126,1627717986,-0.04,0.03,0.01,0.65,0.49,10.9,-23
127,1627717987,-0.04,0.03,0.01,0.64,0.49,10.91,-22
128,1627717988,-0.04,0.03,0.01,0.64,0.49,10.9,-23
129,1627717988,-0.04,0.04,0.01,0.65,0.48,10.91,-23
130,1627717989,-0.04,0.03,0.01,0.65,0.49,10.91,-23
131,1627717991,-0.04,0.03,0.01,0.65,0.48,10.91,-23
132,1627717991,-0.04,0.04,0.01,0.65,0.48,10.91,-23
133,1627717992,-0.04,0.04,0.01,0.64,0.49,10.91,-22
134,1627717993,-0.04,0.03,0.01,0.63,0.48,10.92,-23
135,1627717994,-0.04,0.04,0.01,0.65,0.48,10.91,-23
136,1627717995,-0.04,0.03,0.01,0.65,0.49,10.92,-23
137,1627717995,-0.04,0.03,0.01,0.65,0.49,10.92,-22
138,1627717996,-0.04,0.04,0.01,0.65,0.49,10.93,-23
139,1627717997,-0.04,0.03,0.01,0.65,0.48,10.91,-23
140,1627717998,-0.04,0.03,0.01,0.65,0.48,10.92,-22
141,1627717999,-0.04,0.04,0.01,0.65,0.49,10.92,-23
142,1627718001,-0.04,0.03,0.01,0.67,0.47,10.91,-23
143,1627718002,-0.04,0.04,0.01,0.65,0.48,10.91,-22
144,1627718003,-0.04,0.03,0.01,0.64,0.49,10.91,-22
145,1627718003,-0.04,0.04,0.01,0.64,0.49,10.91,-23
146,1627718004,-0.04,0.03,0.01,0.65,0.48,10.91,-22
147,1627718005,-0.04,0.03,0.01,0.65,0.49,10.93,-22
148,1627718006,-0.04,0.03,0.01,0.65,0.49,10.92,-22
149,1627718007,-0.04,0.03,0.01,0.64,0.49,10.92,-23
150,1627718007,-0.04,0.03,0.01,0.65,0.47,10.91,-23
151,1627718008,-0.04,0.03,0.01,0.66,0.48,10.91,-23
152,1627718009,-0.04,0.04,0.01,0.65,0.48,10.91,-23
153,1627718010,-0.04,0.03,0.01,0.65,0.49,10.91,-23
154,1627718011,-0.04,0.03,0.01,0.65,0.48,10.92,-22
155,1627718012,-0.04,0.04,0.01,0.65,0.48,10.91,-23
156,1627718012,-0.04,0.04,0.01,0.66,0.49,10.92,-23
157,1627718013,-0.04,0.04,0.01,0.65,0.48,10.91,-23
158,1627718014,-0.04,0.03,0.01,0.65,0.48,10.92,-23
159,1627718015,-0.04,0.03,0.01,0.65,0.49,10.9,-23
160,1627718016,-0.04,0.04,0.01,0.64,0.48,10.91,-23
161,1627718016,-0.04,0.03,0.01,0.64,0.5,10.91,-23
162,1627718017,-0.04,0.03,0.01,0.65,0.48,10.91,-23
163,1627718018,-0.04,0.03,0.01,0.66,0.48,10.9,-22
164,1627718019,-0.04,0.04,0.01,0.64,0.49,10.92,-23
165,1627718020,-0.04,0.03,0.01,0.65,0.48,10.92,-22
166,1627718021,-0.04,0.04,0.01,0.66,0.48,10.92,-23
167,1627718021,-0.04,0.03,0.01,0.64,0.49,10.91,-23
168,1627718022,-0.04,0.03,0.01,0.65,0.48,10.89,-23
169,1627718023,-0.04,0.03,0.01,0.64,0.48,10.91,-23
170,1627718024,-0.04,0.04,0.01,0.66,0.49,10.91,-23
171,1627718025,-0.04,0.04,0.01,0.65,0.48,10.91,-23
172,1627718025,-0.04,0.03,0.01,0.64,0.48,10.92,-23
173,1627718026,-0.04,0.03,0.01,0.65,0.48,10.92,-23
