Samples,timestamp,Roll,Pitch,Yow,X,Y,Z,RSSI
396,1627718495,-0.04,0.03,0.01,0.54,0.11,10.9,-41
397,1627718496,-0.04,0.03,0.01,0.53,0.11,10.92,-40
398,1627718497,-0.04,0.03,0.01,0.52,0.09,10.93,-40
399,1627718498,-0.04,0.03,0.01,0.53,0.11,10.93,-41
400,1627718499,-0.04,0.03,0.01,0.53,0.1,10.9,-40
401,1627718500,-0.04,0.03,0.01,0.53,0.09,10.92,-41
402,1627718501,-0.04,0.03,0.01,0.53,0.09,10.92,-41
403,1627718501,-0.04,0.03,0.01,0.54,0.09,10.91,-40
404,1627718502,-0.04,0.03,0.01,0.54,0.1,10.91,-41
405,1627718503,-0.04,0.04,0.01,0.52,0.1,10.92,-41
406,1627718505,-0.04,0.03,0.01,0.53,0.1,10.91,-41
407,1627718506,-0.04,0.03,0.01,0.53,0.1,10.92,-41
408,1627718507,-0.04,0.03,0.01,0.53,0.09,10.91,-41
409,1627718507,-0.04,0.03,0.01,0.53,0.1,10.91,-41
410,1627718508,-0.04,0.03,0.01,0.54,0.1,10.91,-40
411,1627718509,-0.04,0.03,0.01,0.52,0.09,10.93,-41
412,1627718510,-0.04,0.03,0.01,0.52,0.1,10.92,-41
413,1627718511,-0.04,0.04,0.01,0.53,0.1,10.93,-41
414,1627718511,-0.04,0.03,0.01,0.53,0.1,10.92,-40
415,1627718512,-0.04,0.03,0.01,0.52,0.09,10.9,-41
416,1627718513,-0.04,0.03,0.01,0.53,0.1,10.91,-41
417,1627718514,-0.04,0.03,0.01,0.53,0.09,10.92,-41
418,1627718515,-0.04,0.03,0.01,0.54,0.1,10.92,-41
419,1627718515,-0.04,0.03,0.01,0.53,0.1,10.91,-41
420,1627718516,-0.04,0.03,0.01,0.52,0.11,10.91,-41
421,1627718517,-0.04,0.03,0.01,0.52,0.1,10.9,-41
422,1627718518,-0.04,0.03,0.01,0.52,0.11,10.93,-41
423,1627718519,-0.04,0.03,0.01,0.53,0.09,10.91,-40
424,1627718520,-0.04,0.04,0.01,0.53,0.09,10.92,-41
425,1627718520,-0.04,0.03,0.01,0.54,0.1,10.91,-41
426,1627718521,-0.04,0.03,0.01,0.53,0.1,10.91,-40
427,1627718522,-0.04,0.03,0.01,0.52,0.1,10.93,-41
428,1627718523,-0.04,0.03,0.01,0.53,0.09,10.94,-40
429,1627718524,-0.04,0.03,0.01,0.52,0.1,10.91,-40
430,1627718525,-0.04,0.04,0.01,0.52,0.09,10.92,-40
431,1627718525,-0.04,0.03,0.01,0.53,0.1,10.92,-41
432,1627718526,-0.04,0.03,0.01,0.53,0.1,10.92,-41
433,1627718527,-0.04,0.03,0.01,0.53,0.1,10.9,-40
434,1627718528,-0.04,0.03,0.01,0.53,0.1,10.92,-40
435,1627718529,-0.04,0.03,0.01,0.54,0.09,10.91,-41
436,1627718530,-0.04,0.03,0.01,0.54,0.09,10.92,-41
437,1627718530,-0.04,0.03,0.01,0.53,0.1,10.92,-41
438,1627718531,-0.04,0.03,0.01,0.53,0.1,10.92,-41
439,1627718532,-0.04,0.03,0.01,0.52,0.1,10.93,-41
440,1627718533,-0.04,0.03,0.01,0.53,0.1,10.93,-41
441,1627718534,-0.04,0.03,0.01,0.54,0.11,10.91,-41
442,1627718534,-0.04,0.03,0.01,0.52,0.09,10.91,-41
443,1627718535,-0.04,0.04,0.01,0.54,0.09,10.92,-41
444,1627718536,-0.04,0.03,0.01,0.54,0.1,10.91,-41
445,1627718537,-0.04,0.03,0.01,0.54,0.1,10.92,-41
446,1627718538,-0.04,0.04,0.01,0.54,0.1,10.92,-41
447,1627718538,-0.04,0.04,0.01,0.52,0.1,10.91,-40
448,1627718539,-0.04,0.03,0.01,0.52,0.09,10.91,-40
449,1627718540,-0.04,0.03,0.01,0.53,0.1,10.9,-41
450,1627718541,-0.04,0.04,0.01,0.52,0.1,10.92,-41
451,1627718542,-0.04,0.03,0.01,0.53,0.1,10.91,-41
452,1627718542,-0.04,0.03,0.01,0.53,0.1,10.91,-41
453,1627718543,-0.04,0.03,0.01,0.53,0.1,10.91,-41
454,1627718544,-0.04,0.03,0.01,0.53,0.1,10.92,-41
455,1627718545,-0.04,0.03,0.01,0.53,0.1,10.92,-41
456,1627718546,-0.04,0.03,0.01,0.53,0.1,10.9,-41
457,1627718546,-0.04,0.03,0.01,0.52,0.1,10.91,-40
458,1627718547,-0.04,0.03,0.01,0.53,0.1,10.91,-40
459,1627718548,-0.04,0.03,0.01,0.52,0.11,10.91,-41
460,1627718549,-0.04,0.03,0.01,0.53,0.1,10.91,-40
461,1627718549,-0.04,0.03,0.01,0.54,0.09,10.92,-41
462,1627718550,-0.04,0.04,0.01,0.54,0.09,10.91,-41
463,1627718551,-0.04,0.03,0.01,0.52,0.1,10.91,-41
464,1627718552,-0.04,0.03,0.01,0.53,0.09,10.93,-41
465,1627718553,-0.04,0.03,0.01,0.53,0.1,10.93,-41
466,1627718554,-0.04,0.03,0.01,0.53,0.1,10.92,-41
467,1627718554,-0.04,0.03,0.01,0.53,0.11,10.91,-40
468,1627718555,-0.04,0.03,0.01,0.53,0.09,10.9,-40
469,1627718556,-0.04,0.03,0.01,0.52,0.09,10.92,-40
470,1627718557,-0.04,0.03,0.01,0.53,0.09,10.93,-41
471,1627718558,-0.04,0.03,0.01,0.52,0.1,10.93,-42
472,1627718558,-0.04,0.03,0.01,0.53,0.09,10.92,-41
473,1627718559,-0.04,0.03,0.01,0.53,0.1,10.92,-40
474,1627718560,-0.04,0.03,0.01,0.54,0.1,10.92,-41
475,1627718561,-0.04,0.03,0.01,0.53,0.09,10.92,-40
476,1627718561,-0.04,0.03,0.01,0.53,0.11,10.91,-41
477,1627718562,-0.04,0.03,0.01,0.52,0.09,10.92,-41
478,1627718563,-0.04,0.04,0.01,0.52,0.1,10.91,-40
479,1627718564,-0.04,0.04,0.01,0.53,0.1,10.92,-40
480,1627718565,-0.04,0.03,0.01,0.52,0.11,10.91,-40
481,1627718565,-0.04,0.03,0.01,0.53,0.1,10.92,-40
482,1627718566,-0.04,0.04,0.01,0.53,0.09,10.92,-40
483,1627718567,-0.04,0.03,0.01,0.51,0.1,10.91,-40
484,1627718568,-0.04,0.03,0.01,0.53,0.09,10.92,-40
485,1627718569,-0.04,0.03,0.01,0.52,0.1,10.92,-41
486,1627718570,-0.04,0.03,0.01,0.52,0.09,10.92,-41
487,1627718570,-0.04,0.03,0.01,0.53,0.09,10.9,-41
488,1627718571,-0.04,0.04,0.01,0.52,0.1,10.91,-41
489,1627718572,-0.04,0.03,0.01,0.53,0.1,10.91,-41
490,1627718573,-0.04,0.04,0.01,0.53,0.1,10.91,-41
491,1627718574,-0.04,0.03,0.01,0.53,0.1,10.91,-41
492,1627718575,-0.04,0.03,0.01,0.52,0.1,10.92,-41
493,1627718576,-0.04,0.03,0.01,0.52,0.1,10.92,-41
494,1627718576,-0.04,0.03,0.01,0.53,0.1,10.91,-41
495,1627718577,-0.04,0.03,0.01,0.52,0.09,10.92,-41
496,1627718578,-0.04,0.03,0.01,0.53,0.09,10.92,-42
497,1627718579,-0.04,0.03,0.01,0.52,0.1,10.93,-41
498,1627718580,-0.04,0.03,0.01,0.52,0.1,10.92,-41
499,1627718580,-0.04,0.04,0.01,0.52,0.1,10.92,-41
500,1627718581,-0.04,0.03,0.01,0.53,0.1,10.91,-40
501,1627718582,-0.04,0.03,0.01,0.52,0.1,10.93,-41
502,1627718583,-0.04,0.04,0.01,0.53,0.09,10.91,-41
503,1627718584,-0.04,0.03,0.01,0.52,0.1,10.91,-41
504,1627718584,-0.04,0.03,0.01,0.52,0.09,10.91,-41
505,1627718585,-0.04,0.03,0.01,0.53,0.09,10.92,-41
506,1627718586,-0.04,0.03,0.01,0.53,0.1,10.93,-41
507,1627718587,-0.04,0.03,0.01,0.53,0.1,10.91,-41
508,1627718588,-0.04,0.04,0.01,0.51,0.1,10.93,-41
509,1627718588,-0.04,0.03,0.01,0.52,0.09,10.92,-41
510,1627718589,-0.04,0.03,0.01,0.52,0.1,10.92,-41
511,1627718590,-0.04,0.03,0.01,0.53,0.1,10.93,-40
512,1627718591,-0.04,0.03,0.01,0.52,0.09,10.9,-40
513,1627718592,-0.04,0.03,0.01,0.52,0.1,10.9,-41
514,1627718592,-0.04,0.03,0.01,0.53,0.1,10.91,-41
515,1627718593,-0.04,0.03,0.01,0.53,0.1,10.92,-41
516,1627718594,-0.04,0.03,0.01,0.52,0.1,10.91,-41
517,1627718595,-0.04,0.03,0.01,0.53,0.1,10.91,-41
518,1627718596,-0.04,0.03,0.01,0.52,0.1,10.91,-41
519,1627718597,-0.04,0.03,0.01,0.53,0.1,10.91,-40
520,1627718597,-0.04,0.03,0.01,0.53,0.1,10.92,-41
521,1627718598,-0.04,0.03,0.01,0.53,0.1,10.91,-41
522,1627718599,-0.04,0.03,0.01,0.53,0.09,10.9,-40
523,1627718600,-0.04,0.03,0.01,0.52,0.09,10.92,-41
524,1627718601,-0.04,0.03,0.01,0.53,0.1,10.92,-41
525,1627718601,-0.04,0.03,0.01,0.53,0.1,10.92,-41
526,1627718602,-0.04,0.03,0.01,0.52,0.1,10.91,-41
527,1627718603,-0.04,0.03,0.01,0.53,0.1,10.92,-41
528,1627718604,-0.04,0.03,0.01,0.52,0.1,10.9,-41
529,1627718604,-0.04,0.03,0.01,0.52,0.1,10.92,-41
530,1627718605,-0.04,0.03,0.01,0.52,0.1,10.93,-40
531,1627718606,-0.04,0.03,0.01,0.53,0.1,10.92,-40
532,1627718607,-0.04,0.04,0.01,0.52,0.1,10.91,-40
533,1627718608,-0.04,0.03,0.01,0.52,0.1,10.92,-41
534,1627718608,-0.04,0.03,0.01,0.52,0.1,10.91,-41
535,1627718612,-0.04,0.03,0.01,0.52,0.09,10.93,-41
536,1627718614,-0.04,0.03,0.01,0.51,0.1,10.91,-41
537,1627718614,-0.04,0.03,0.01,0.53,0.09,10.92,-42
538,1627718615,-0.04,0.03,0.01,0.52,0.1,10.92,-42
539,1627718616,-0.04,0.03,0.01,0.53,0.1,10.92,-42
540,1627718617,-0.04,0.03,0.01,0.52,0.11,10.91,-42
541,1627718618,-0.04,0.03,0.01,0.52,0.1,10.91,-42
542,1627718619,-0.04,0.03,0.01,0.53,0.09,10.93,-42
543,1627718619,-0.04,0.03,0.01,0.52,0.1,10.91,-42
544,1627718620,-0.04,0.03,0.01,0.52,0.1,10.91,-42
545,1627718621,-0.04,0.03,0.01,0.51,0.09,10.91,-42
546,1627718622,-0.04,0.03,0.01,0.53,0.1,10.92,-41
547,1627718623,-0.04,0.03,0.01,0.52,0.1,10.92,-43
548,1627718624,-0.04,0.04,0.01,0.53,0.1,10.92,-43
549,1627718624,-0.04,0.03,0.01,0.53,0.1,10.92,-42
550,1627721429.89083,-0.04,0.03,0.01,0.21,0.94,10.88,31.0
551,1627721430.064839,-0.04,0.04,0.01,0.2,0.95,10.88,31.0
552,1627721430.199847,-0.04,0.03,0.01,0.21,0.93,10.89,31.0
553,1627721430.325854,-0.04,0.04,0.01,0.21,0.94,10.88,31.0
554,1627721430.557868,-0.04,0.03,0.01,0.19,0.94,10.9,31.0
555,1627721430.786881,-0.04,0.03,0.01,0.2,0.93,10.88,31.0
556,1627721430.94989,-0.04,0.03,0.01,0.2,0.93,10.89,31.0
557,1627721431.192904,-0.04,0.04,0.01,0.2,0.93,10.88,31.0
558,1627721431.30391,-0.04,0.03,0.01,0.21,0.94,10.89,31.0
559,1627721431.449919,-0.04,0.03,0.01,0.2,0.94,10.89,31.0
560,1627721431.572926,-0.04,0.03,0.01,0.21,0.93,10.88,31.0
561,1627721431.81394,-0.04,0.03,0.01,0.21,0.94,10.89,31.0
562,1627721431.930946,-0.04,0.04,0.01,0.22,0.93,10.89,31.0
563,1627721432.046953,-0.04,0.04,0.01,0.21,0.93,10.89,31.0
564,1627721432.157959,-0.04,0.03,0.01,0.21,0.94,10.88,31.0
565,1627721434.509094,-0.04,0.03,0.01,0.21,0.93,10.9,31.0
566,1627721434.639101,-0.04,0.03,0.01,0.2,0.94,10.89,31.0
567,1627721434.760108,-0.04,0.04,0.01,0.21,0.94,10.89,31.0
568,1627721434.879115,-0.04,0.04,0.01,0.21,0.94,10.89,31.0
569,1627721434.988121,-0.04,0.04,0.01,0.21,0.94,10.88,31.0
570,1627721435.110128,-0.04,0.03,0.01,0.2,0.93,10.89,31.0
571,1627721435.242136,-0.04,0.03,0.01,0.21,0.93,10.9,31.0
572,1627721435.368143,-0.04,0.04,0.01,0.2,0.94,10.89,31.0
573,1627721435.49115,-0.04,0.03,0.01,0.21,0.94,10.89,31.0
574,1627721435.607156,-0.04,0.03,0.01,0.21,0.94,10.9,31.0
575,1627721435.731164,-0.04,0.03,0.01,0.2,0.94,10.89,31.0
576,1627721435.84317,-0.04,0.03,0.01,0.2,0.94,10.88,31.0
577,1627721436.071183,-0.04,0.03,0.01,0.21,0.94,10.89,31.0
578,1627721436.19119,-0.04,0.03,0.01,0.21,0.95,10.89,31.0
579,1627721436.3702,-0.04,0.03,0.01,0.21,0.93,10.9,31.0
580,1627721436.477206,-0.04,0.03,0.01,0.2,0.93,10.9,31.0
581,1627721436.603213,-0.04,0.03,0.01,0.21,0.94,10.89,31.0
582,1627721436.71322,-0.04,0.03,0.01,0.2,0.94,10.89,31.0
583,1627721436.824226,-0.04,0.03,0.01,0.2,0.93,10.89,31.0
584,1627721436.934232,-0.04,0.03,0.01,0.2,0.93,10.87,31.0
585,1627721437.095242,-0.04,0.03,0.01,0.21,0.94,10.9,31.0
586,1627721437.207248,-0.04,0.04,0.01,0.2,0.93,10.89,31.0
587,1627721437.323255,-0.04,0.03,0.01,0.2,0.92,10.89,31.0
588,1627721437.477263,-0.04,0.03,0.01,0.2,0.94,10.92,31.0
589,1627721437.59927,-0.04,0.03,0.01,0.2,0.94,10.9,31.0
590,1627721437.721277,-0.04,0.04,0.01,0.2,0.94,10.88,31.0
591,1627721437.833284,-0.04,0.03,0.01,0.22,0.93,10.89,31.0
592,1627721437.94229,-0.04,0.03,0.01,0.21,0.92,10.87,31.0
593,1627721438.057297,-0.04,0.03,0.01,0.21,0.93,10.89,31.0
594,1627721438.172303,-0.04,0.03,0.01,0.2,0.93,10.89,31.0
595,1627721438.29031,-0.04,0.03,0.01,0.21,0.93,10.9,31.0
596,1627721438.404316,-0.04,0.03,0.01,0.21,0.93,10.88,31.0
597,1627721438.515323,-0.04,0.03,0.01,0.21,0.94,10.89,31.0
598,1627721438.623329,-0.04,0.03,0.01,0.2,0.93,10.9,31.0
599,1627721438.736335,-0.04,0.03,0.01,0.2,0.94,10.89,31.0
600,1627721438.845342,-0.04,0.04,0.01,0.2,0.93,10.89,31.0
601,1627721438.956348,-0.04,0.03,0.01,0.2,0.94,10.88,31.0
602,1627721439.073355,-0.04,0.03,0.01,0.21,0.93,10.91,31.0
603,1627721439.293367,-0.04,0.03,0.01,0.2,0.93,10.88,31.0
604,1627721439.401373,-0.04,0.03,0.01,0.2,0.94,10.89,31.0
605,1627721439.51438,-0.04,0.03,0.01,0.2,0.93,10.89,31.0
606,1627721439.621386,-0.04,0.03,0.01,0.2,0.93,10.87,31.0
607,1627721439.740393,-0.04,0.03,0.01,0.21,0.93,10.88,31.0
608,1627721439.882401,-0.04,0.03,0.01,0.2,0.94,10.88,31.0
609,1627721439.994407,-0.04,0.03,0.01,0.21,0.93,10.88,31.0
610,1627721440.111414,-0.04,0.03,0.01,0.21,0.94,10.88,31.0
611,1627721440.22142,-0.04,0.03,0.01,0.21,0.94,10.88,31.0
612,1627721440.331427,-0.04,0.03,0.01,0.2,0.93,10.9,31.0
613,1627721440.441433,-0.04,0.03,0.01,0.21,0.95,10.89,31.0
614,1627721440.55844,-0.04,0.03,0.01,0.22,0.93,10.88,31.0
615,1627721440.775452,-0.04,0.03,0.01,0.22,0.92,10.9,31.0
616,1627721440.896459,-0.04,0.04,0.01,0.2,0.93,10.89,31.0
617,1627730563.961287,-0.04,0.03,0.01,0.65,0.04,10.88,-35.0
618,1627730564.304307,-0.04,0.03,0.01,0.65,0.05,10.88,-35.0
619,1627730564.395312,-0.04,0.03,0.01,0.65,0.05,10.88,-35.0
620,1627730564.486317,-0.04,0.03,0.01,0.65,0.05,10.89,-35.0
621,1627730564.593324,-0.04,0.03,0.01,0.65,0.05,10.87,-35.0
622,1627730564.69833,-0.04,0.03,0.01,0.65,0.04,10.86,-35.0
623,1627730564.830337,-0.04,0.04,0.01,0.66,0.06,10.87,-35.0
624,1627730564.959344,-0.04,0.03,0.01,0.65,0.06,10.89,-35.0
625,1627730565.079351,-0.04,0.03,0.01,0.66,0.05,10.9,-35.0
626,1627730565.194358,-0.04,0.03,0.01,0.65,0.05,10.87,-35.0
627,1627730565.305364,-0.04,0.03,0.01,0.65,0.04,10.88,-35.0
628,1627730565.41337,-0.04,0.03,0.01,0.65,0.04,10.87,-35.0
629,1627730565.559379,-0.04,0.04,0.01,0.66,0.05,10.88,-35.0
630,1627730565.673385,-0.04,0.03,0.01,0.65,0.05,10.86,-35.0
631,1627730565.795392,-0.04,0.03,0.01,0.65,0.05,10.89,-35.0
632,1627730565.908399,-0.04,0.03,0.01,0.66,0.05,10.88,-35.0
633,1627730566.031406,-0.04,0.04,0.01,0.64,0.04,10.87,-35.0
634,1627730566.142412,-0.04,0.03,0.01,0.65,0.06,10.87,-35.0
635,1627730566.253419,-0.04,0.03,0.01,0.65,0.05,10.86,-35.0
636,1627730566.364425,-0.04,0.04,0.01,0.65,0.05,10.88,-35.0
637,1627730566.477431,-0.04,0.03,0.01,0.65,0.06,10.88,-35.0
638,1627730566.588438,-0.04,0.03,0.01,0.65,0.05,10.88,-35.0
639,1627730566.707444,-0.04,0.03,0.01,0.65,0.05,10.88,-36.0
640,1627730566.823451,-0.04,0.03,0.01,0.66,0.04,10.88,-36.0
641,1627730566.941458,-0.04,0.03,0.01,0.65,0.06,10.9,-36.0
642,1627730567.081466,-0.04,0.03,0.01,0.65,0.05,10.88,-36.0
643,1627730567.188472,-0.04,0.03,0.01,0.65,0.04,10.89,-36.0
644,1627730567.32648,-0.04,0.03,0.01,0.65,0.05,10.86,-36.0
645,1627730567.441486,-0.04,0.03,0.01,0.65,0.04,10.86,-36.0
646,1627730567.559493,-0.04,0.03,0.01,0.65,0.05,10.89,-36.0
647,1627730567.6695,-0.04,0.03,0.01,0.65,0.06,10.88,-36.0
648,1627730567.777506,-0.04,0.03,0.01,0.65,0.05,10.88,-36.0
649,1627730567.890512,-0.04,0.03,0.01,0.66,0.04,10.89,-36.0
650,1627730568.004519,-0.04,0.03,0.01,0.66,0.05,10.87,-36.0
651,1627730568.144527,-0.04,0.03,0.01,0.65,0.05,10.87,-36.0
652,1627730568.253533,-0.04,0.03,0.01,0.66,0.05,10.88,-36.0
653,1627730568.363539,-0.04,0.03,0.01,0.66,0.05,10.89,-36.0
654,1627730568.475546,-0.04,0.04,0.01,0.66,0.04,10.86,-36.0
655,1627730568.646555,-0.04,0.03,0.01,0.65,0.04,10.87,-36.0
656,1627730568.779563,-0.04,0.03,0.01,0.66,0.06,10.89,-36.0
657,1627730569.008576,-0.04,0.03,0.01,0.66,0.04,10.88,-36.0
658,1627730569.119582,-0.04,0.03,0.01,0.64,0.05,10.89,-36.0
659,1627730569.293592,-0.04,0.03,0.01,0.65,0.04,10.87,-36.0
660,1627730569.411599,-0.04,0.03,0.01,0.65,0.07,10.88,-36.0
661,1627730569.550607,-0.04,0.03,0.01,0.66,0.04,10.89,-36.0
662,1627730569.658613,-0.04,0.03,0.01,0.65,0.05,10.87,-36.0
663,1627730569.76962,-0.04,0.03,0.01,0.65,0.05,10.86,-36.0
664,1627730569.882626,-0.04,0.03,0.01,0.66,0.06,10.88,-36.0
665,1627730569.999633,-0.04,0.03,0.01,0.65,0.05,10.87,-36.0
666,1627730570.105639,-0.04,0.03,0.01,0.66,0.05,10.87,-36.0
667,1627730570.218645,-0.04,0.03,0.01,0.66,0.05,10.87,-36.0
668,1627730570.331652,-0.04,0.03,0.01,0.65,0.05,10.89,-36.0
669,1627730570.441658,-0.04,0.03,0.01,0.66,0.05,10.89,-36.0
670,1627730570.551664,-0.04,0.03,0.01,0.66,0.05,10.88,-36.0
671,1627730570.662671,-0.04,0.03,0.01,0.67,0.05,10.89,-36.0
672,1627730570.83268,-0.04,0.03,0.01,0.65,0.05,10.88,-36.0
673,1627730570.958688,-0.04,0.03,0.01,0.65,0.04,10.89,-36.0
674,1627730571.068694,-0.04,0.03,0.01,0.65,0.05,10.87,-36.0
675,1627730571.1817,-0.04,0.03,0.01,0.66,0.06,10.88,-36.0
676,1627730571.295707,-0.04,0.03,0.01,0.67,0.05,10.88,-36.0
677,1627730571.491718,-0.04,0.03,0.01,0.66,0.04,10.9,-36.0
678,1627730571.613725,-0.04,0.03,0.01,0.65,0.05,10.87,-36.0
679,1627730571.725732,-0.04,0.03,0.01,0.66,0.05,10.89,-36.0
680,1627730571.836738,-0.04,0.03,0.01,0.65,0.05,10.86,-36.0
681,1627730571.956745,-0.04,0.03,0.01,0.65,0.05,10.86,-36.0
682,1627730572.064751,-0.04,0.03,0.01,0.65,0.06,10.87,-36.0
683,1627730572.182758,-0.04,0.03,0.01,0.65,0.06,10.88,-36.0
684,1627730572.294764,-0.04,0.03,0.01,0.65,0.05,10.88,-36.0
685,1627730572.40277,-0.04,0.03,0.01,0.65,0.06,10.89,-36.0
686,1627730572.518777,-0.04,0.03,0.01,0.65,0.04,10.89,-36.0
687,1627730572.632783,-0.04,0.03,0.01,0.66,0.05,10.87,-36.0
688,1627730572.789792,-0.04,0.03,0.01,0.65,0.04,10.89,-36.0
689,1627730572.9308,-0.04,0.03,0.01,0.66,0.04,10.87,-36.0
690,1627730573.108811,-0.04,0.03,0.01,0.66,0.03,10.88,-36.0
691,1627730573.240818,-0.04,0.03,0.01,0.66,0.04,10.88,-36.0
692,1627730573.349824,-0.04,0.03,0.01,0.65,0.04,10.87,-36.0
693,1627730573.461831,-0.04,0.03,0.01,0.65,0.05,10.88,-36.0
694,1627730573.579838,-0.04,0.03,0.01,0.65,0.05,10.87,-36.0
695,1627730573.687844,-0.04,0.04,0.01,0.65,0.05,10.87,-36.0
696,1627730573.80185,-0.04,0.03,0.01,0.65,0.05,10.87,-36.0
697,1627730573.909856,-0.04,0.04,0.01,0.65,0.05,10.89,-36.0
698,1627730574.035864,-0.04,0.03,0.01,0.66,0.04,10.88,-36.0
699,1627730574.177872,-0.04,0.03,0.01,0.65,0.05,10.88,-36.0
700,1627730574.286878,-0.04,0.03,0.01,0.65,0.04,10.87,-36.0
701,1627730574.399884,-0.04,0.03,0.01,0.66,0.05,10.87,-36.0
702,1627730574.513891,-0.04,0.03,0.01,0.65,0.04,10.86,-36.0
703,1627730574.624897,-0.04,0.03,0.01,0.66,0.04,10.89,-36.0
704,1627730574.773906,-0.04,0.03,0.01,0.66,0.04,10.9,-36.0
705,1627730574.884912,-0.04,0.03,0.01,0.66,0.05,10.87,-36.0
706,1627730574.996919,-0.04,0.03,0.01,0.65,0.04,10.88,-36.0
707,1627730575.106925,-0.04,0.03,0.01,0.65,0.03,10.89,-36.0
708,1627730575.215931,-0.04,0.03,0.01,0.65,0.05,10.87,-36.0
709,1627730575.327938,-0.04,0.03,0.01,0.66,0.05,10.86,-36.0
710,1627730575.443944,-0.04,0.03,0.01,0.65,0.05,10.87,-36.0
711,1627730575.55395,-0.04,0.03,0.01,0.65,0.05,10.88,-36.0
712,1627730575.665957,-0.04,0.03,0.01,0.65,0.05,10.88,-36.0
713,1627730575.775963,-0.04,0.03,0.01,0.66,0.05,10.86,-36.0
714,1627730575.88897,-0.04,0.03,0.01,0.65,0.05,10.88,-36.0
715,1627730576.012977,-0.04,0.03,0.01,0.66,0.04,10.87,-36.0
716,1627730576.126983,-0.04,0.03,0.01,0.65,0.06,10.87,-36.0
717,1627730576.24099,-0.04,0.03,0.01,0.66,0.05,10.88,-36.0
718,1627730576.347996,-0.04,0.03,0.01,0.65,0.04,10.88,-36.0
719,1627730576.460002,-0.04,0.03,0.01,0.65,0.04,10.88,-36.0
720,1627730576.576009,-0.04,0.04,0.01,0.65,0.05,10.89,-36.0
721,1627730576.684015,-0.04,0.04,0.01,0.64,0.05,10.88,-35.0
722,1627730576.839024,-0.04,0.04,0.01,0.63,0.04,10.88,-35.0
723,1627730576.991033,-0.04,0.03,0.01,0.64,0.05,10.88,-35.0
724,1627730577.099039,-0.04,0.03,0.01,0.64,0.06,10.88,-35.0
725,1627730577.317051,-0.04,0.03,0.01,0.64,0.05,10.88,-35.0
726,1627730577.444059,-0.04,0.03,0.01,0.63,0.04,10.86,-35.0
727,1627730577.590067,-0.04,0.03,0.01,0.63,0.05,10.89,-35.0
728,1627730577.698073,-0.04,0.03,0.01,0.63,0.04,10.88,-35.0
729,1627730577.809079,-0.04,0.03,0.01,0.64,0.04,10.89,-35.0
730,1627730577.936087,-0.04,0.03,0.01,0.64,0.05,10.87,-35.0
731,1627730578.050093,-0.04,0.03,0.01,0.65,0.05,10.88,-36.0
732,1627730578.1731,-0.04,0.03,0.01,0.64,0.04,10.86,-37.0
733,1627730578.33711,-0.04,0.03,0.01,0.65,0.05,10.87,-37.0
734,1627730578.447116,-0.04,0.03,0.01,0.64,0.05,10.87,-37.0
735,1627730578.564123,-0.04,0.03,0.01,0.65,0.06,10.89,-37.0
736,1627730578.676129,-0.04,0.03,0.01,0.64,0.04,10.87,-35.0
737,1627730578.793136,-0.04,0.03,0.01,0.64,0.04,10.87,-35.0
738,1627730578.911142,-0.04,0.03,0.01,0.65,0.04,10.86,-36.0
739,1627730579.025149,-0.04,0.03,0.01,0.64,0.05,10.86,-36.0
740,1627730579.163157,-0.04,0.03,0.01,0.64,0.04,10.87,-36.0
741,1627730579.271163,-0.04,0.03,0.01,0.63,0.04,10.89,-36.0
742,1627730579.39917,-0.04,0.03,0.01,0.64,0.04,10.86,-36.0
743,1627730579.513177,-0.04,0.03,0.01,0.65,0.05,10.86,-36.0
744,1627730579.626183,-0.04,0.03,0.01,0.64,0.04,10.88,-36.0
745,1627730579.74619,-0.04,0.03,0.01,0.64,0.04,10.88,-36.0
746,1627730579.859197,-0.04,0.03,0.01,0.64,0.05,10.89,-36.0
747,1627730579.970203,-0.04,0.03,0.01,0.64,0.04,10.86,-36.0
748,1627730580.080209,-0.04,0.03,0.01,0.64,0.05,10.87,-36.0
749,1627730580.191216,-0.04,0.03,0.01,0.64,0.06,10.87,-36.0
750,1627730580.311223,-0.04,0.03,0.01,0.63,0.05,10.87,-36.0
751,1627730580.547236,-0.04,0.03,0.01,0.65,0.04,10.88,-36.0
752,1627730580.707245,-0.04,0.03,0.01,0.64,0.05,10.87,-36.0
753,1627730580.892256,-0.04,0.03,0.01,0.64,0.05,10.89,-36.0
754,1627730581.006262,-0.04,0.03,0.01,0.64,0.04,10.88,-36.0
755,1627730581.115269,-0.04,0.03,0.01,0.64,0.04,10.88,-36.0
756,1627730581.231275,-0.04,0.03,0.01,0.63,0.05,10.88,-36.0
757,1627730581.354282,-0.04,0.03,0.01,0.64,0.05,10.88,-36.0
758,1627730581.470289,-0.04,0.03,0.01,0.64,0.04,10.89,-36.0
759,1627730581.581295,-0.04,0.03,0.01,0.64,0.05,10.87,-36.0
760,1627730581.690301,-0.04,0.03,0.01,0.65,0.04,10.89,-36.0
761,1627730581.798308,-0.04,0.03,0.01,0.64,0.04,10.88,-36.0
762,1627730581.917314,-0.04,0.03,0.01,0.64,0.04,10.88,-36.0
763,1627730582.029321,-0.04,0.04,0.01,0.64,0.04,10.87,-36.0
764,1627730582.140327,-0.04,0.03,0.01,0.64,0.04,10.87,-36.0
765,1627730582.250333,-0.04,0.03,0.01,0.65,0.05,10.87,-36.0
